one	/wʌn/<br>num.一  pron.一个人<br>例: They had one daughter. 他们有一个女儿。
failure	/'feɪljə/<br>n.失败；失败的人<br>例: Successful people often aren’t very good at dealing with failure. 一帆风顺的人往往不太擅长应对失败。
adapt	/ə'dæpt/<br>vt.使适应； 改编<br>例: The ability to adapt is a definite asset in this job. 适应能力是做这份工作的绝对有利条件。
week	/wiːk/<br>n.周，星期<br>例: I can’t see you this week. 我这星期不能见你。
damage	/'dæmɪdʒ/<br>v.损害，毁坏  n.损害<br>例: insects that damage crops 破坏庄稼的昆虫
productivity	/ˌprɒdʌkˈtɪvəti/<br>n.生产力<br>例: high productivity levels in manufacturing 制造业中的高生产率
shift	/ʃɪft/<br>v.转变<br>例: Attitudes to mental illness have shifted in recent years. 对精神病的态度近年来已稍微有所改变。
vehicle	/ˈvi:əkl/<br>n.车辆<br>例: a description of the stolen vehicle 对被盗车辆的描述
fashion	/'fæʃ(ə)n/<br>n.样子，方式；风尚<br>例: Please leave the building in an orderly fashion. 请大家有秩序地离开大楼。
successful	/sək'sesfʊl; -f(ə)l/<br>adj.圆满的；顺利的；成功的<br>例: The operation was successful. 手术成功了。
together	/tə'geðə/<br>adv.一起；同时；相互；连续地；总共  adj.新潮的；情绪稳定的，做事有效率的<br>例: We’ve very much enjoyed working together . 我们在一起工作非常开心。
guideline	/'gaɪdlaɪn/<br>n.指导原则<br>例: This chapter gives you some guidelines to help you in your work. 本章将介绍一些指导性原则，为你的工作提供帮助。
carry	/'kærɪ/<br>v.刊登<br>例: The morning paper carried a story about demonstrations in New York and Washington D.C. 晨报登载了纽约和华盛顿特区举行示威游行的报道。
tool	/tuːl/<br>n.工具，用具；器械，机床；手段  v.使用工具；用机床装备工厂<br>例: I don’t have the right tools to start fiddling around with the engine. 我没有合适的工具来摆弄发动机。
despite	/dɪ'spaɪt/<br>prep.不管， 不顾<br>例: Liz realized that, despite herself, she cared about Edward. 利兹发现自己不由自主地在乎爱德华。
struggle	/'strʌɡl/<br>v.搏斗<br>例: They had to struggle against all kinds of adversity. 他们不得不同各种困境斗争。
operate	/'ɒpəreɪt/<br>v.操作；施行手术<br>例: The Lewis family operated a number of boats on the canal. 刘易斯一家在运河上经营着几艘船。
participant	/pɑː'tɪsɪp(ə)nt/<br>n.参加者<br>例: an active participant in the negotiations 积极参与谈判的人
creativity	/ˌkri:eɪ'tɪvətɪ/<br>n.创造力<br>例: artistic creativity 艺术创造力
name	/neɪm/<br>n.名字；名誉  v.说出<br>例: Her name is Mandy Wilson. 她的名字是曼迪•威尔逊。
topic	/'tɒpɪk/<br>n.题目， 论题， 话题<br>例: The environment is a popular topic these days. 如今环境是一个热门话题。
institution	/ˌɪnstɪˈtju:ʃn/<br>n.机构<br>例: powerful institutions such as world banks 诸如世界银行之类的强大机构
hand	/hænd/<br>n.手；人手；指针<br>例: Steve gripped the steering wheel tightly with both hands. 史蒂夫双手紧握方向盘。
promise	/'prɒmɪs/<br>n.诺言；指望  v.允诺<br>例: If you make a promise, you should keep it. 如果你许下一个诺言，你就应该遵守它。
collect	/kə'lekt/<br>v.收集  v.收款<br>例: After 25 years of collecting recipes, she has compiled them into a cookbook. 她搜集了25年食谱，把它们编成一本烹饪书。
man	/mæn/<br>n.男人；人；人类<br>例: There were two men and a woman in the car. 车上有两男一女。
long-term	/ˌlɒŋ ˈtɜːm/<br>adj.长期的<br>例: We need a long-term plan. 我们需要一个长期计划。
race	/reɪs/<br>n.比赛，竞赛，竞争<br>例: The women's race was won by the only American in the field, Patti Sue Plumer. 女子赛跑被田赛场上惟一的一名美国人帕蒂·休·普卢默赢得了。
whole	/həʊl/<br>adj.完整的；纯粹的  n.整体；全部<br>例: You have your whole life ahead of you! 你有一辈子要过呢！
expense	/ɪk'spens/<br>n.花费， 消费， 费用； 开支， 业务费用<br>例: He borrowed £150,000 and used the money for legal expenses. 他借了15万英镑用于支付律师费。
fund	/fʌnd/<br>n.资金，基金；存款  vt.为…提供资金<br>例: The fund was set up to try to save the cathedral. 设立基金以挽救大教堂。
charge	/tʃɑːdʒ/<br>n.负荷；充电  v.装满<br>例: Leave the battery on charge all night. 让电池充一晚上的电
push	/pʊʃ/<br>v.推，逼迫  v.推<br>例: It didn’t move, so she pushed harder. 它一动不动，因此她加力去推。
eye	/aɪ/<br>n.眼睛；眼力；鉴赏力<br>例: He’s got beautiful eyes. 他有一双漂亮的眼睛。
feature	/'fiːtʃə/<br>n.特征，特色；面貌；特写，专题节目；故事片  vt.突出； 由…主演<br>例: Air bags are a standard feature in most new cars. 气囊是大多数新车的标准配置。
general	/'dʒen(ə)r(ə)l/<br>adj.总的；一般的n将军<br>例: There has been a general decline in standards. 道德水准普遍下降。
educational	/ˌedʒu'keɪʃənl/<br>adj.教育的， 教育性的<br>例: the educational development of children 儿童的教育发展
upon	/ ə'pɒn /<br>prep.在…上面<br>例: an honour bestowed upon the association 授予该协会的荣誉
strike	/straɪk/<br>n.罢工<br>例: The government has promised that the army will be called in to help if there is a firemen’s strike. 政府承诺，如消防员罢工，就将调军队来协助。
kill	/kɪl/<br>v.杀死；扼杀；消磨<br>例: Why did she kill her husband? 她为什么杀死丈夫？
detail	/'diːteɪl/<br>n.琐碎，小事<br>例: She told me every detail of her trip. 她把旅行的所有细节都告诉了我。
aspect	/'æspekt/<br>n.方面<br>例: a south-facing aspect 朝南方向
although	/ɔːl'ðəʊ; ɒl-/<br>conj.尽管，虽然<br>例: Although in poor health, she continued to carry out her duties. 尽管身体不好，她仍继续执行任务。
temperature	/temprətʃə(r)/<br>n.温度，体温；热度，发烧<br>例: The temperature of the water was just right for swimming. 这水温游泳正好。
establish	/ɪ'stæblɪʃ; e-/<br>v.使…被接受<br>例: He’d already begun to establish quite a reputation as a journalist. 身为记者，他已经声名鹊起。
resident	/ˈrezɪdənt/<br>n.居民<br>例: As one local resident put it in May, "By day there is government. 正如一位当地居民在五月份对它的描述”白天有政府。
travel	/ 'trævl /<br>n&vi.旅行<br>例: They travelled 200 miles on the first day. 他们第一天行进了200英里。
passion	/'pæʃn/<br>n.激情， 热情； 酷爱<br>例: The issue arouses strong passions . 那件事激起了人们强烈的情绪。
south	/saʊθ/<br>n.南方，南边；南部  adv.在南方，向南方  adj.南的，南方的<br>例: Which way is south? 哪面是南？
instruction	/ɪn'strʌkʃən/<br>n.命令，指示，用法说明<br>例: Press ‘Enter’ and follow the on-screen instructions. 按回车键，然后按照电脑屏幕上的指示来操作。
chance	/tʃɑːns/<br>n.机会，机遇；可能性<br>例: There’s always the chance that something will go wrong. 总有可能会出现问题。
visit	/'vɪzɪt/<br>v.拜访<br>例: Eric went to Seattle to visit his cousins. 埃里克到西雅图去看望他的表兄弟。
schedule	/'ʃedjuːl/<br>n.时间表<br>例: A tight schedule means we can't delay any longer. 一张紧凑的时间表表明我们不能再耽搁。
realize	/'riːəlaɪz/<br>v.实现；认识到<br>例: It took us a while to realize the extent of the tragedy. 我们过了一段时间才意识到这场悲剧有多严重。
imagine	/ɪ'mædʒɪn/<br>v.想象，设想；料想<br>例: Perhaps she’d never really been there at all – perhaps she’d just imagined it. 可能她从未到过那儿——也许这都是她的幻想。
essential	/ɪ'senʃl/<br>adj.本质的，必须的<br>例: Window locks are fairly cheap and absolutely essential. 窗锁相当便宜，绝对有必要安装。
organization	/ˌɔːɡənaɪ'zeɪʃn/<br>n.组织；团体，机构<br>例: The public expect high standards from any large organization. 公众对任何大型机构都期望很高。
air	/eə/<br>n.空气；空中；外观<br>例: Let’s go outside and get some fresh air. 我们出去呼吸些新鲜空气吧。
towards	/tə'wɔːdz; twɔːdz; 'tɔːdz/<br>prep.用于，有助于<br>例: The money collected will be put towards repairing the church roof. 募集到的钱款将用于修缮教堂屋顶。
decline	/dɪ'klaɪn/<br>v.拒绝<br>例: Offered the position of chairman, Smith declined, preferring to keep his current job. 对担任主席的邀约，史密斯拒绝了，他宁愿留在现在的职位上。
clean	/kliːn/<br>adj.清洁的；纯洁的<br>例: Are your hands clean? 你的手干净吗？
unfinished	/ʌnˈfɪnɪʃt/<br>adj.未完成的；未结束的<br>例: She left the work unfinished. 她让工作半途而废。
solve	/sɒlv/<br>v.解决<br>例: Charlie thinks money will solve all his problems. 查理认为钱能解决他所有的问题。
attend	/ə'tend/<br>v.出席；照顾，护理<br>例: Only 12 people attended the meeting. 只有12个人出席了会议。
story	/'stɔːrɪ/<br>n.故事；小说；新闻报道；来历；假话  vt.用历史故事画装饰  vi.说谎<br>例: a book of short stories 短篇小说集
investment	/ɪn'ves(t)m(ə)nt/<br>n.投资，投资额，投入<br>例: We plan to buy some property as an investment. 我们打算买些房地产作为投资。
fear	/fɪə/<br>n.害怕；担心  v.害怕<br>例: I was sitting on the floor shivering with fear because a bullet had been fired through a window. 我坐在地板上吓得浑身发抖，因为有一颗子弹射穿窗户打了进来。
drink	/drɪŋk/<br>v.饮  v.喝  n.饮料<br>例: You should drink plenty of water. 你应该大量喝水。
overall	/'əʊvərɔːl/<br>adj.总的<br>例: ...the overall rise in unemployment. …失业人数的总体上升。
treat	/triːt/<br>v.对待；处理  n.款待<br>例: sewage treated so that it can be used as fertilizer 经过处理可用作肥料的污水
famous	/'feɪməs/<br>adj.著名的，出名的<br>例: a famous actor 著名演员
daily	/'deɪlɪ/<br>adj.每日的  n.日报<br>例: daily flights to Miami 每日飞往迈阿密的航班
voice	/vɒɪs/<br>n.声音;嗓音;发音能力;意见,发言权;语态<br>例: He recognized her voice instantly. 他立刻听出了她的声音。
threat	/θret/<br>n.威胁<br>例: Your threats don’t scare me. 你的那些威胁吓不倒我。
weight	/weɪt/<br>n.重量，重力；负担；砝码；重要性  v.加重量于，使变重<br>例: The average weight of a baby at birth is just over seven pounds. 婴儿的平均出生体重是七磅多一点。
office	/'ɒfɪs/<br>n.办公室；处，局，社<br>例: The department occupies an office just a mile from the White House. 该部门就在离白宫一英里远的地方有个办公楼。
emotion	/ɪ'məuʃn/<br>n.情感， 感情； 激动<br>例: Her voice was full of emotion. 她的声音充满了激情。
recently	/'riːsntlɪ/<br>adv.最近，新近<br>例: He has recently been promoted to Assistant Manager. 他最近晋升为经理助理。
piece	/piːs/<br>n.碎片，块  v.拼合<br>例: Cut off a piece of wood 5 cm in length. 截下一段五厘米长的木头。
track	/træk/<br>v.追踪  n.轨迹，踪迹<br>例: Police have been tracking the four criminals all over Central America. 警方一直在中美洲到处追捕这四名罪犯。
fuel	/fjuːəl/<br>n.燃料，燃料剂  vt.给…加燃料； 刺激<br>例: Coal is one of the cheapest fuels. 煤是最廉价的燃料之一。
absence	/'æbsəns/<br>n.缺席， 不在； 缺席的时间， 外出期； 缺乏， 不存在<br>例: In the absence of any evidence, the police had to let Myers go. 警察没有证据，只好把迈尔斯放了。
bird	/bɜːd/<br>n.鸟，禽<br>例: wild birds 野鸟
men	/men/<br>n.男人（man 的复数）；人们<br>例: All men are created equal. 人人生而平等。
email	/ˈiːmeɪl/<br>n.电子邮件  v.发电子邮件<br>例: I will email you the details. 我会把细节用邮件发给你。
diversity	/daɪ'vɜ:sətɪ/<br>n.多样性<br>例: ...the cultural diversity of Latin America. …拉丁美洲文化的多样性。
achievement	/ə'tʃiːvmənt/<br>n.完成； 成就， 成绩<br>例: His great achievement is to make all the players into a united team. 他的伟大成就在于把所有选手组织成一支团结的队伍。
argument	/'ɑːgjʊm(ə)nt/<br>n.争论，辩论；理由<br>例: We need to provide a convincing argument as to why the system should be changed. 我们得提出有说服力的论据，证明为何要改变体制。
debris	/ˈdeɪˌbri:/<br>n.残骸，碎片<br>例: She was hit by flying debris from the blast. 她被爆炸产生的飞散碎片击中。
gap	/ɡæp/<br>n.差距<br>例: ...the gap between rich and poor. …贫富差距。
strange	/streɪn(d)ʒ/<br>adj.陌生的，不熟悉的<br>例: As a child, she’d been taught never to speak to strange men. 她从小就受到教育绝对不要和陌生男人说话。
flood	/flʌd/<br>n.洪水  v.淹没<br>例: The village was cut off by floods. 那个村子因洪水而与外界中断了联系。
marine	/mə'ri:n/<br>adj.海洋的<br>例: the enormous variety of marine life 海洋生物繁多的种类
trust	/trʌst/<br>n.信任  v.相信；委托<br>例: At first there was a lack of trust between them. 起初，他们之间缺乏信任。
relevant	/ˈreləvənt/<br>adj.相关的<br>例: Relevant documents were presented in court. 法庭上出示了相关的文件。
rice	/raɪs/<br>n.稻；米饭  v.把…捣成米糊状<br>例: a tasty sauce served with rice or pasta 配米饭或意面的美味酱汁
period	/'pɪərɪəd/<br>n.时期；学时；句号<br>例: Tomorrow’s weather will be dry with sunny periods. 明天天气干燥，间或晴朗。
recovery	/rɪ'kʌvəri/<br>n.恢复， 痊愈； 追回， 寻回， 收复<br>例: Hopes of economic recovery are fading. 经济复苏的希望越来越渺茫。
necessary	/ˈnɛsɪsərɪ/<br>adj.必要的；必然的<br>例: The booklet provides all the necessary information about the college. 这本小册子提供了关于那所学院的所有必需信息。
ignore	/ɪɡ'nɔ:(r)/<br>v.忽视<br>例: The phone rang, but she ignored it. 电话铃响了，但她只当没听见。
pursue	/pə'sju:/<br>v.追求<br>例: She plans to pursue a career in politics. 她计划从政。
dream	/driːm/<br>n.梦；梦想  v.做梦<br>例: I had lots of dreams last night. 昨晚我做了很多梦。
generation	/dʒenə'reɪʃ(ə)n/<br>n.一代人，产生<br>例: Like most of my generation, I had never known a war. 和我们这一代的大多数人一样，我并没有经历过战争。
simple	/'sɪmp(ə)l/<br>adj.单纯的；迟钝的<br>例: Completing the race is not just a simple matter of physical fitness. 跑完比赛不仅仅是纯粹的体力问题。
citizen	/'sɪtɪzn/<br>n.公民<br>例: We need our schools to teach students to be good citizens. 我们需要学校把学生培养为好公民。
wealthy	/'welθi/<br>adj.富的， 富裕的<br>例: the wealthy nations of the world 世界上的富国
respond	/rɪ'spɒnd/<br>vi.回答， 答复； 作出反应， 响应<br>例: They are likely to respond positively to the president's request for aid. 他们有可能积极地回应该总统的援助请求。
mother	/'mʌðə/<br>n.母亲，妈妈<br>例: His mother and father are both doctors. 他的父母都是医生。
smart	/smɑːt/<br>v.刺疼，扎疼，剧痛<br>例: My eyes were smarting with the smoke. 我的眼睛被烟熏得发痛。
manufacturer	/ˌmænju'fæktʃərə/<br>n.制造商， 制造厂<br>例: Read the manufacturer’s instructions before using your new dishwasher. 使用新洗碗机之前，请先阅读厂家的说明书。
treatment	/ˈtri:tmənt/<br>n.治疗，对待<br>例: Just lately, Kyra has been giving me the silent treatment (= refusing to speak to me because she is angry with me ) . 就在最近，凯拉一直对我不理不睬。
rule	/ruːl/<br>v.裁决，裁定<br>例: The judge ruled that she should have custody of the children. 法官判定孩子的监护权归她。
drop	/drɒp/<br>v.使落下；降低<br>例: Your button has dropped off. 你的纽扣掉了。
waste	/weɪst/<br>n.浪费；废物；荒地；损耗；地面风化物  v.浪费；消耗；使荒芜  adj.废弃的；多余的；荒芜的<br>例: excessive waste in state spending 政府支出方面的过度浪费
kitchen	/'kɪtʃɪn; -tʃ(ə)n/<br>n.厨房，灶间<br>例: Sam went into the kitchen to make a pot of tea. 萨姆走进厨房去沏一壶茶。
nothing	/'nʌθɪŋ/<br>n.没有东西  adv.毫不<br>例: Nothing ever happens in this town. 这镇上从来都不会发生什么特别的事。
fight	/faɪt/<br>v.打(仗)；斗争<br>例: Neither country is capable of fighting a long war . 两个国家都没有能力打持久战。
emotional	/i'məuʃənəl/<br>adj.情绪的；容易激动的；感动人的<br>例: She provided emotional support at a very distressing time for me. 在我非常痛苦的时候，她是我的情感支柱。
specific	/spəˈsɪfɪk/<br>adj.具体的<br>例: games suitable for specific age groups 适合特定年龄组的游戏
spread	/spred/<br>v.传播，扩散<br>例: The industrial revolution, which started a couple of hundred years ago in Europe, is now spreading across the world. 几百年前始于欧洲的工业革命现在正向全世界扩散。
presence	/'prez(ə)ns/<br>n.出席，到场；在<br>例: Your presence is requested at the club meeting on Friday. 敬请出席于周五举行的俱乐部会议。
carbon	/'kɑːb(ə)n/<br>n.碳<br>例: I dread to think what the carbon footprint must be like of moving that coal but we have no choice. 我都不敢想象为了运这些煤产生了多少碳足迹，但我们没有选择。
fee	/fiː/<br>n.费，酬金；赏金<br>例: You can use the gym and pool for a fee of £35 a month. 月付35英镑，即可使用健身房和游泳池。
consume	/kən'sjuːm/<br>vi.消灭， 毁灭  vt.消费；吃完，喝光<br>例: Some of the most efficient refrigerators consume 70 percent less electricity than traditional models. 一些能效最高的冰箱比传统型号少消耗70%的电。
position	/pəˈzɪʃn/<br>v.定位，安放；  n.位置，职位<br>例: Position the cursor before the letter you want to delete. 把光标放在你想删去的字母之前。
retail	/'riːteɪl/<br>n.零售<br>例: a retail price of £8.99 8.99英镑的零售价
complete	/kəm'pli:t/<br>v.完成  adj.完整的，彻底的<br>例: Students must complete the course. 学生必须学完这门课程。
special	/'speʃ(ə)l/<br>adj.特殊的,专门的;附加的,额外的<br>例: a special place in the classroom for reading 教室里的阅读专区
interact	/ˌɪntər'ækt/<br>v.互动<br>例: While the other children interacted and played together, Ted ignored them. 当其他孩子们相互交往、一起玩耍时，泰德却不理他们。
editor	/'edɪtə/<br>n.编辑，编者，校订者<br>例: the editor of a book of essays on modern poetry 现代诗歌论文集的编者
telemedicine	/ˌtelɪˈmedɪsɪn/<br>n.远程医疗<br>例: Telemedicine helps patients in remote areas. 远程医疗帮助偏远地区的患者。
operation	/ɒpə'reɪʃ(ə)n/<br>n.运算<br>例: The whole operation is performed in less than three seconds. 全部运算在三秒内完成。
available	/əˈveɪləbl/<br>adj.可获得的，可利用的<br>例: Tickets are available from the box office. 售票处有票出售。
rate	/reɪt/<br>n.费用<br>例: $20 an hour is the going rate (= the usual amount paid ) for private tuition. 每小时20美元是私人授课的一般收费。
win	/wɪn/<br>v.赢得；在…中获胜；劝诱  n.赢；胜利<br>例: Who’s winning (= who is most successful at this point in the game )? 现在谁领先？
lifestyle	/'laɪfstaɪl/<br>n.生活方式<br>例: Regular exercise is part of a healthy lifestyle. 经常锻炼身体是健康生活方式的一部分。
worth	/wɜːθ/<br>adj.值…的  n.价值<br>例: You should not deprecate your own worth. 你不应该贬低你自己的价值。
well-being	/ˌwel ˈbiːɪŋ/<br>n.幸福；健康；福祉<br>例: Exercise improves mental well-being. 运动能改善心理健康。
conclusion	/kən'kluːʒ(ə)n/<br>n.结论<br>例: These are the report’s main conclusions. 这些就是这篇报告的主要结论。
warn	/wɔːn/<br>v.警告，提醒；通知  n.(Warn)人名；(英)沃恩；(德)瓦恩<br>例: ‘Be careful, the rocks are slippery,’ Alex warned. “小心，岩石很滑。”亚历克斯提醒说。
innovation	/ˌɪnəˈveɪʃn/<br>n.创新，革新<br>例: We must encourage innovation if the company is to remain competitive. 公司要想保持竞争力，就必须鼓励革新。
talent	/'tælənt/<br>n.天才；才能；人才<br>例: He has a lot of talent , and his work is fresh and interesting. 他很有天赋，作品新颖有趣。
pattern	/'pætn/<br>n.模式<br>例: Weather patterns have changed in recent years. 气候模式近年已经发生了变化。
official	adj.官员的；官方的
outside	/aʊt'saɪd; 'aʊtsaɪd/<br>prep.在…外，向…外<br>例: You can park your car outside our house. 你可以把汽车停在我们家屋外。
bill	/bɪl/<br>n.账单；招贴；票据<br>例: Have you paid the phone bill? 电话费你付了吗？
proposal	/prə'pəʊz(ə)l/<br>n.提议<br>例: The president is to put forward new proposals for resolving the country's constitutional crisis. 总统将提出解决国家宪法危机的新议案。
film	/fɪlm/<br>n.影片；胶卷；薄层<br>例: Have you seen any good films recently? 你最近看过什么好的影片吗？
else	/els/<br>adv.其它，另外  adj.别的<br>例: There’s something else I’d like to talk about as well. 我还有其他事情要谈一谈。
represent	/ˌreprɪ'zent/<br>vt.作为…的代表， 表示， 象征； 描绘， 表现<br>例: Mr Kobayashi was chosen to represent the company at the conference. 小林先生被选中代表公司出席会议。
recognition	/rekəg'nɪʃ(ə)n/<br>n.认出，识别<br>例: He stared at her, but there was no sign of recognition . 他盯着她看，但似乎没认出她来。
trouble	/'trʌb(ə)l/<br>n.麻烦；烦恼；故障；动乱  v.麻烦；使烦恼；折磨<br>例: Recent stock market losses point to trouble ahead. 最近股市的下跌预示着未来将有麻烦。
cultivate	/'kʌltɪvet/<br>v.培养<br>例: We cultivated maize and watermelons. 我们种植玉米和西瓜。
strive	/straɪv/<br>v.努力，奋斗，力求<br>例: I was still striving to be successful. 我仍在努力争取成功。
leader	/'liːdə/<br>n.领袖，领导人；首领<br>例: the largest ever gathering of world leaders 全世界领导人史无前例的大聚会
party	/'pɑːtɪ/<br>n.党，党派；聚会<br>例: We’re having a small party this evening to celebrate our wedding anniversary. 我们今晚有个小聚会，庆祝我们的结婚纪念日。
awareness	/əˈweənəs/<br>n.意识<br>例: Health officials have tried to raise awareness (=  improve people’s knowledge  ) about AIDS. 卫生部官员努力提高人们对艾滋病的认识。
agreement	/ə'griːm(ə)nt/<br>n.协定，协议；同意<br>例: It is easier for two parties to reach agreement than for three. 两方达成一致比三方达成一致容易。
designer	/dɪ'zaɪnə/<br>n.设计师；谋划者  adj.由设计师专门设计的；享有盛名的；赶时髦的<br>例: an interior designer 室内装潢设计师
motivate	/'məutɪveɪt/<br>vt.作为…的动机； 激励， 激发<br>例: Was he motivated solely by a desire for power? 他只是受到权欲的驱使吗？
anxiety	/æŋ'zaɪətɪ/<br>n.焦虑<br>例: his feelings of anxiety 他焦虑的心情
survive	/sə'vaɪv/<br>vi.活下来，继续存在；幸免于  vt.从中挺过来； 从…逃出； 比…活得长<br>例: Only 12 of the 140 passengers survived. 140 名乘客中只有 12 人生还。
near	/nɪə/<br>adv.近，接近  adj.近的<br>例: They live near London. 他们住在伦敦附近。
taste	/teɪst/<br>n.味觉，品味<br>例: It palls on my taste. 我觉得它毫无滋味。
engineer	/endʒɪ'nɪə/<br>n.工程师，技师<br>例: He trained as a civil engineer (= one who designs and builds roads, bridges etc ). 他接受过土木工程师培训。
heart	/hɑːt/<br>n.心，内心；勇气<br>例: Regular exercise is good for the heart. 经常锻炼对心脏有好处。
conduct	/kən'dʌkt/<br>v.引导，管理<br>例: Aluminium, being a metal, readily conducts heat . 铝这种金属导热性能很好。
discover	/dɪ'skʌvə/<br>v.发现<br>例: The body was discovered in a field. 尸体是在一块田地里找到的。
road	/rəʊd/<br>n.公路，马路；道路；手段  vt.（狗）沿臭迹追逐（猎物）  adj.（美）巡回的<br>例: 65 Maple Road 枫树路65号
happiness	/ˈhæpinəs/<br>n.幸福，幸运；快乐<br>例: Juliet’s eyes shone with happiness. 朱丽叶的双眼闪耀着幸福的光芒。
chimp	/tʃɪmp/<br>n.黑猩猩（chimpanzee 的简称）<br>例: The chimp used a stick as a tool. 那只黑猩猩把树枝当作工具。
examine	/ɪg'zæmɪn; eg-/<br>v.检查，仔细观察<br>例: A team of divers was sent down to examine the wreck. 一组潜水员被送到水下检查沉船。
vary	/'veərɪ/<br>v.变化<br>例: Quentin’s mood seems to vary according to the weather. 昆廷的情绪似乎随天气而变化。
crisis	/'kraɪsɪs/<br>n.危机；转折点<br>例: The country now faces an economic crisis . 该国目前正面临一场经济危机。
enhance	/ɪn'hɑːns; -hæns; en-/<br>v.提高，增加；改进<br>例: Good lighting will enhance any room. 良好的照明能给房间增色不少。
loss	/lɒs/<br>n.遗失；损失；失败<br>例: The company is closing down two of its factories, leading to 430 job losses . 公司要关闭其中的两家工厂，这将造成430人失业。
lay	/leɪ/<br>v.置放；铺设；设置<br>例: He laid his hand on my shoulder. 他把一只手搭在我的肩上。
attitude	/'ætɪtjuːd/<br>n.态度， 看法； 姿势<br>例: As soon as they found out I was a doctor, their whole attitude changed. 他们一听说我是医生，态度就完全改变了。
ago	/ə'gəʊ/<br>adv.以前<br>例: They moved to a new house some time ago (=  a fairly long time ago  ) . 他们搬进新居已有些日子了。
five	/faɪv/<br>num.五，五个，第五<br>例: There is also a golf course five miles away. 五英里外还有个高尔夫球场。
priority	/praɪ'ɒrɪtɪ/<br>n.先，前；优先，重点<br>例: The club’s priority is to win the League. 该俱乐部首先考虑的是要赢得联赛。
technological	/ˌteknəˈlɒdʒɪkl/<br>adj.技术的；科技的<br>例: Technological progress changes our lives. 技术进步改变我们的生活。
repeat	/rɪ'piːt/<br>v.重说，重做  n.重复<br>例: Can you repeat your question? 你能重复一遍你的问题吗？
ready	/'redɪ/<br>adj.乐意的，愿意的<br>例: She was ready and willing to work hard. 她工作积极肯干。
quickly	/'kwɪklɪ/<br>adv.迅速地；很快地<br>例: We need to get this finished as quickly as possible. 我们必须尽快完成此事。
combine	/kəm'baɪn/<br>v.结合，联合；化合  n.联合企业； 联合收割机<br>例: Diets are most effective when combined with exercise. 节食和锻炼相结合是最有效的。
oppose	/ə'pəʊz/<br>v.反对<br>例: Congress is continuing to oppose the President’s health care budget. 国会继续反对总统的医疗保健预算。
package	/'pækɪdʒ/<br>n.包裹，包装；一揽子交易  vt.把…打包； 包装<br>例: There’s a package here for a Miami Lakes address. 这里有一个寄往迈阿密湖的包裹。
cover	/'kʌvə(r)/<br>v.报道<br>例: I’d just returned from covering the Cambodian war. 我刚报道完柬埔寨战争回来。
mostly	/'məʊs(t)lɪ/<br>adv.主要的，大部分<br>例: Green teas are mostly from China or Japan. 绿茶主要来自中国或日本。
news	/njuːz/<br>n.新闻，消息<br>例: I hope to have some good news for you soon. 我希望很快就能给你好消息。
implement	/'ɪmplɪm(ə)nt/<br>n.工具  v.贯彻<br>例: ...writing implements. …书写用具。
accelerate	/ək'seləreɪt/<br>v.加速<br>例: measures to accelerate the rate of economic growth 加快经济增长速度的措施
nearly	/'nɪəlɪ/<br>adv.差不多；密切地<br>例: It took nearly two hours to get here. 到这里花了将近两小时。
chemical	/'kemikəl/<br>adj.化学的 n. 化学制品<br>例: the chemical composition of bleach 漂白剂的化学成分
function	/'fʌŋkʃn/<br>vi.工作， 运行； 起作用  n.功能，职务；【数】函数；重大聚会<br>例: Her legs have now ceased to function . 她的双腿现在已经丧失正常功能了。
artist	/'ɑːtɪst/<br>n.艺术家，美术家<br>例: an exhibition of paintings by local artists 当地画家的画展
normal	/'nɔːm(ə)l/<br>adj.正常的，普通的<br>例: A normal working week is 40 hours. 一个正常的工作周是40小时。
description	/dɪ'skrɪpʃ(ə)n/<br>n.描写，形容；种类<br>例: The booklet gives a brief description of each place. 这本小册子对每一个地方都作了简短的介绍。
tree	/triː/<br>n.树；木料；树状物  v.把赶上树<br>例: As a kid, I loved to climb trees. 小时候，我喜欢爬树。
reveal	/rɪ'vi:l/<br>v.揭露<br>例: He may be prosecuted for revealing secrets about the security agency. 他可能因泄露安全部门的机密而被起诉。
remember	/rɪ'membə/<br>v.记得，想起；记住<br>例: Do you remember Rosa Davies? 你记得罗莎·戴维斯吗？
psychological	/ˌsaɪkə'lɒdʒɪkl/<br>adj.心理的<br>例: Sleep disorders are a serious psychological problem . 睡眠障碍是严重的心理疾病。
define	/dɪ'faɪn/<br>v.规定；立（界限）<br>例: the ability to define clients’ needs 确定客户需求的能力
intelligence	/in'telidʒəns/<br>n.智力，智慧，理解力<br>例: To be good at the game, you need a reasonable level of intelligence. 要想把这种游戏玩好，需要一定的智力水平。
emerge	/ɪ'mɜ:dʒ/<br>v.出现<br>例: The flowers emerge in the spring. 花儿在春天开放。
outcome	/ˈaʊtkʌm/<br>n.结果<br>例: People who had heard the evidence at the trial were surprised at the outcome. 在审判过程中听过证词的人都对此结果感到吃惊。
useful	/'juːsfʊl; -f(ə)l/<br>adj.有用的，有益的；有帮助的<br>例: useful information 有用的信息
advocate	/'ædvəkeɪt；-ət/<br>v.拥护  n.辩护律师<br>例: Extremists were openly advocating violence. 极端主义者公开鼓吹使用暴力。
response	/rɪ'spɒns/<br>n.回应<br>例: Carl made no response, and carried on with his meal. 卡尔没有回答，继续吃饭。
